                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6252,                0.72761,                 1.0341,                 1.8942,                0.76533,                0.99878,                0.86911,                0.83695,                 0.8926,                0.42764,                 1.6512,                0.70021,                 1.0205,                 1.8196,                0.69159,                 1.0205,               0.008911,               0.008911,               0.008911
                     36,                 1.6314,                0.73004,                 1.0356,                  1.897,                0.77215,                0.99813,                0.87224,                0.83983,                 0.8943,                0.42917,                 1.6522,                0.69108,                 1.0203,                 1.8183,                0.67851,                 1.0183,               0.008878,               0.008878,               0.008878
                     37,                 1.6218,                0.72708,                 1.0364,                 1.8941,                0.76479,                0.99923,                0.87595,                0.84623,                0.89767,                0.43852,                 1.6295,                0.68751,                 1.0147,                 1.7956,                0.66928,                 1.0138,               0.008845,               0.008845,               0.008845
                     38,                 1.6193,                0.72846,                 1.0332,                 1.8857,                0.76898,                0.99526,                0.87262,                0.83613,                0.89356,                0.43095,                 1.6535,                0.69633,                 1.0205,                 1.8115,                 0.6962,                 1.0175,               0.008812,               0.008812,               0.008812
                     39,                  1.623,                0.72461,                 1.0348,                 1.8899,                0.76542,                 0.9974,                0.87357,                0.84678,                0.89597,                0.43361,                 1.6435,                0.68729,                 1.0163,                 1.8035,                0.68287,                  1.015,               0.008779,               0.008779,               0.008779
                     40,                 1.6128,                0.71696,                 1.0356,                  1.874,                0.75199,                0.99956,                0.87458,                0.83285,                0.89279,                0.43046,                 1.6515,                0.68985,                 1.0216,                 1.8098,                0.68128,                 1.0194,               0.008746,               0.008746,               0.008746
                     41,                 1.5985,                0.71481,                 1.0374,                 1.8618,                 0.7494,                 1.0024,                0.87313,                0.84369,                0.89354,                0.42607,                 1.6579,                0.69081,                 1.0233,                 1.8249,                0.68294,                 1.0243,               0.008713,               0.008713,               0.008713
                     42,                 1.6075,                0.71399,                 1.0285,                 1.8776,                0.74906,                 0.9923,                0.88376,                0.84714,                0.90118,                0.43823,                 1.6392,                0.68147,                 1.0166,                 1.8014,                0.66113,                 1.0165,                0.00868,                0.00868,                0.00868
                     43,                 1.6048,                0.71359,                 1.0279,                 1.8631,                0.74532,                0.99236,                0.88144,                0.84706,                0.90262,                0.44133,                 1.6379,                0.67698,                 1.0149,                 1.7919,                0.65933,                 1.0135,               0.008647,               0.008647,               0.008647
                     44,                 1.6034,                 0.7105,                 1.0282,                 1.8701,                0.74647,                0.99338,                0.88221,                0.84985,                0.90116,                0.44087,                 1.6407,                 0.6793,                 1.0177,                 1.7973,                0.65642,                 1.0162,               0.008614,               0.008614,               0.008614
